,Unnamed: 0,realtime_start,realtime_end,date,value
70,70,2023-04-04,2023-04-04,2015-11-01,25.11
71,71,2023-04-04,2023-04-04,2015-12-01,24.89
72,72,2023-04-04,2023-04-04,2016-01-01,25.25
73,73,2023-04-04,2023-04-04,2016-02-01,25.23
74,74,2023-04-04,2023-04-04,2016-03-01,25.21
75,75,2023-04-04,2023-04-04,2016-04-01,25.3
76,76,2023-04-04,2023-04-04,2016-05-01,25.39
77,77,2023-04-04,2023-04-04,2016-06-01,25.08
78,78,2023-04-04,2023-04-04,2016-07-01,25.18
79,79,2023-04-04,2023-04-04,2016-08-01,25.17
80,80,2023-04-04,2023-04-04,2016-09-01,25.41
81,81,2023-04-04,2023-04-04,2016-10-01,25.73
82,82,2023-04-04,2023-04-04,2016-11-01,25.54
83,83,2023-04-04,2023-04-04,2016-12-01,25.54
84,84,2023-04-04,2023-04-04,2017-01-01,26.06
85,85,2023-04-04,2023-04-04,2017-02-01,25.91
86,86,2023-04-04,2023-04-04,2017-03-01,25.86
87,87,2023-04-04,2023-04-04,2017-04-01,26.16
88,88,2023-04-04,2023-04-04,2017-05-01,25.83
89,89,2023-04-04,2023-04-04,2017-06-01,25.7
90,90,2023-04-04,2023-04-04,2017-07-01,26.03
91,91,2023-04-04,2023-04-04,2017-08-01,25.84
92,92,2023-04-04,2023-04-04,2017-09-01,26.15
93,93,2023-04-04,2023-04-04,2017-10-01,26.34
94,94,2023-04-04,2023-04-04,2017-11-01,26.17
95,95,2023-04-04,2023-04-04,2017-12-01,26.26
96,96,2023-04-04,2023-04-04,2018-01-01,26.6
97,97,2023-04-04,2023-04-04,2018-02-01,26.58
98,98,2023-04-04,2023-04-04,2018-03-01,26.6
99,99,2023-04-04,2023-04-04,2018-04-01,26.91
100,100,2023-04-04,2023-04-04,2018-05-01,26.62
101,101,2023-04-04,2023-04-04,2018-06-01,26.48
102,102,2023-04-04,2023-04-04,2018-07-01,26.82
103,103,2023-04-04,2023-04-04,2018-08-01,26.71
104,104,2023-04-04,2023-04-04,2018-09-01,27.21
105,105,2023-04-04,2023-04-04,2018-10-01,27.04
106,106,2023-04-04,2023-04-04,2018-11-01,27.09
107,107,2023-04-04,2023-04-04,2018-12-01,27.44
108,108,2023-04-04,2023-04-04,2019-01-01,27.51
109,109,2023-04-04,2023-04-04,2019-02-01,27.58
110,110,2023-04-04,2023-04-04,2019-03-01,27.57
111,111,2023-04-04,2023-04-04,2019-04-01,27.63
112,112,2023-04-04,2023-04-04,2019-05-01,27.53
113,113,2023-04-04,2023-04-04,2019-06-01,27.66
114,114,2023-04-04,2023-04-04,2019-07-01,27.58
115,115,2023-04-04,2023-04-04,2019-08-01,27.68
116,116,2023-04-04,2023-04-04,2019-09-01,28.07
117,117,2023-04-04,2023-04-04,2019-10-01,27.93
118,118,2023-04-04,2023-04-04,2019-11-01,28.01
119,119,2023-04-04,2023-04-04,2019-12-01,28.26
