,Date,Value
0,2021-12-31,280.126
1,2021-11-30,278.524
2,2021-10-31,276.59
3,2021-09-30,274.214
4,2021-08-31,273.092
5,2021-07-31,272.184
6,2021-06-30,270.955
7,2021-05-31,268.599
8,2021-04-30,266.727
9,2021-03-31,265.028
10,2021-02-28,263.346
11,2021-01-31,262.2
12,2020-12-31,261.564
13,2020-11-30,260.721
14,2020-10-31,260.352
15,2020-09-30,260.19
16,2020-08-31,259.58
17,2020-07-31,258.543
18,2020-06-30,257.217
19,2020-05-31,255.944
20,2020-04-30,256.094
21,2020-03-31,258.165
22,2020-02-29,259.007
23,2020-01-31,258.682
24,2019-12-31,258.263
25,2019-11-30,257.788
26,2019-10-31,257.305
27,2019-09-30,256.596
28,2019-08-31,256.179
29,2019-07-31,255.9
30,2019-06-30,255.361
31,2019-05-31,255.325
32,2019-04-30,255.163
33,2019-03-31,254.273
34,2019-02-28,253.135
35,2019-01-31,252.47
36,2018-12-31,252.551
37,2018-11-30,252.657
38,2018-10-31,252.862
39,2018-09-30,252.239
40,2018-08-31,251.749
41,2018-07-31,251.323
42,2018-06-30,251.118
43,2018-05-31,250.779
44,2018-04-30,250.146
45,2018-03-31,249.581
46,2018-02-28,249.439
47,2018-01-31,248.743
48,2017-12-31,247.805
49,2017-11-30,247.284
50,2017-10-31,246.626
51,2017-09-30,246.435
52,2017-08-31,245.183
53,2017-07-31,244.243
54,2017-06-30,244.163
55,2017-05-31,244.004
56,2017-04-30,244.193
57,2017-03-31,243.892
58,2017-02-28,244.006
59,2017-01-31,243.618
60,2016-12-31,242.637
61,2016-11-30,242.026
62,2016-10-31,241.741
63,2016-09-30,241.176
64,2016-08-31,240.545
65,2016-07-31,240.101
66,2016-06-30,240.222
67,2016-05-31,239.557
68,2016-04-30,238.992
69,2016-03-31,238.08
70,2016-02-29,237.336
71,2016-01-31,237.652
72,2015-12-31,237.761
73,2015-11-30,238.017
74,2015-10-31,237.733
75,2015-09-30,237.498
76,2015-08-31,238.033
77,2015-07-31,238.034
78,2015-06-30,237.657
79,2015-05-31,237.001
80,2015-04-30,236.222
81,2015-03-31,235.976
82,2015-02-28,235.342
83,2015-01-31,234.747
84,2014-12-31,236.252
85,2014-11-30,236.983
86,2014-10-31,237.43
87,2014-09-30,237.477
88,2014-08-31,237.46
89,2014-07-31,237.498
90,2014-06-30,237.231
91,2014-05-31,236.918
92,2014-04-30,236.468
93,2014-03-31,236.028
94,2014-02-28,235.547
95,2014-01-31,235.288
96,2013-12-31,234.719
97,2013-11-30,234.1
98,2013-10-31,233.669
99,2013-09-30,233.544
100,2013-08-31,233.456
101,2013-07-31,232.9
102,2013-06-30,232.445
103,2013-05-31,231.893
104,2013-04-30,231.797
105,2013-03-31,232.282
106,2013-02-28,232.937
107,2013-01-31,231.679
108,2012-12-31,231.221
109,2012-11-30,231.249
110,2012-10-31,231.638
111,2012-09-30,231.015
112,2012-08-31,229.918
113,2012-07-31,228.59
114,2012-06-30,228.524
115,2012-05-31,228.713
116,2012-04-30,229.187
117,2012-03-31,228.807
118,2012-02-29,228.329
119,2012-01-31,227.842
120,2011-12-31,227.223
121,2011-11-30,227.169
122,2011-10-31,226.75
123,2011-09-30,226.597
124,2011-08-31,226.106
125,2011-07-31,225.395
126,2011-06-30,224.806
127,2011-05-31,224.806
128,2011-04-30,224.093
129,2011-03-31,223.046
130,2011-02-28,221.898
131,2011-01-31,221.187
132,2010-12-31,220.472
133,2010-11-30,219.59
134,2010-10-31,219.035
135,2010-09-30,218.275
136,2010-08-31,217.923
137,2010-07-31,217.605
138,2010-06-30,217.199
139,2010-05-31,217.29
140,2010-04-30,217.403
141,2010-03-31,217.353
142,2010-02-28,217.281
143,2010-01-31,217.488
