,year,periodName,value
0,2017,December,26.26
1,2017,November,26.17
2,2017,October,26.34
3,2017,September,26.15
4,2017,August,25.84
5,2017,July,26.03
6,2017,June,25.70
7,2017,May,25.83
8,2017,April,26.16
9,2017,March,25.86
10,2017,February,25.91
11,2017,January,26.06
12,2016,December,25.54
13,2016,November,25.54
14,2016,October,25.73
15,2016,September,25.41
16,2016,August,25.17
17,2016,July,25.18
18,2016,June,25.08
19,2016,May,25.39
20,2016,April,25.30
21,2016,March,25.21
22,2016,February,25.23
23,2016,January,25.25
24,2015,December,24.89
25,2015,November,25.11
26,2015,October,24.85
27,2015,September,24.76
28,2015,August,24.74
29,2015,July,24.51
30,2015,June,24.47
31,2015,May,24.59
32,2015,April,24.67
33,2015,March,24.79
34,2015,February,24.82
35,2015,January,24.61
36,2014,December,24.27
37,2014,November,24.52
38,2014,October,24.21
39,2014,September,24.19
40,2014,August,23.99
41,2014,July,23.97
42,2014,June,24.13
43,2014,May,24.00
44,2014,April,24.10
45,2014,March,24.23
46,2014,February,24.32
47,2014,January,24.06
