,year,periodName,value
0,2013,December,23.99
1,2013,November,23.81
2,2013,October,23.74
3,2013,September,23.89
4,2013,August,23.47
5,2013,July,23.49
6,2013,June,23.65
7,2013,May,23.50
8,2013,April,23.65
9,2013,March,23.57
10,2013,February,23.65
11,2013,January,23.62
12,2012,December,23.57
13,2012,November,23.30
14,2012,October,23.23
15,2012,September,23.40
16,2012,August,22.95
17,2012,July,23.19
18,2012,June,22.96
19,2012,May,23.02
20,2012,April,23.34
21,2012,March,23.08
22,2012,February,23.11
23,2012,January,23.29
24,2011,December,22.88
25,2011,November,22.83
26,2011,October,23.00
27,2011,September,22.71
28,2011,August,22.48
29,2011,July,22.59
30,2011,June,22.47
31,2011,May,22.75
32,2011,April,22.63
33,2011,March,22.57
34,2011,February,22.68
35,2011,January,22.85
36,2010,December,22.40
37,2010,November,22.34
38,2010,October,22.33
39,2010,September,22.24
40,2010,August,22.18
41,2010,July,22.03
42,2010,June,21.98
43,2010,May,22.27
44,2010,April,22.19
45,2010,March,22.14
46,2010,February,22.23
47,2010,January,22.16
