,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,realtime_start,realtime_end,date,value
75,75,75,75,75,75,75,75,2023-03-30,2023-03-30,2016-04-01,3.61
76,76,76,76,76,76,76,76,2023-03-30,2023-03-30,2016-05-01,3.6
77,77,77,77,77,77,77,77,2023-03-30,2023-03-30,2016-06-01,3.57
78,78,78,78,78,78,78,78,2023-03-30,2023-03-30,2016-07-01,3.44
79,79,79,79,79,79,79,79,2023-03-30,2023-03-30,2016-08-01,3.44
80,80,80,80,80,80,80,80,2023-03-30,2023-03-30,2016-09-01,3.46
81,81,81,81,81,81,81,81,2023-03-30,2023-03-30,2016-10-01,3.47
82,82,82,82,82,82,82,82,2023-03-30,2023-03-30,2016-11-01,3.77
83,83,83,83,83,83,83,83,2023-03-30,2023-03-30,2016-12-01,4.2
84,84,84,84,84,84,84,84,2023-03-30,2023-03-30,2017-01-01,4.15
85,85,85,85,85,85,85,85,2023-03-30,2023-03-30,2017-02-01,4.17
86,86,86,86,86,86,86,86,2023-03-30,2023-03-30,2017-03-01,4.2
87,87,87,87,87,87,87,87,2023-03-30,2023-03-30,2017-04-01,4.05
88,88,88,88,88,88,88,88,2023-03-30,2023-03-30,2017-05-01,4.01
89,89,89,89,89,89,89,89,2023-03-30,2023-03-30,2017-06-01,3.9
90,90,90,90,90,90,90,90,2023-03-30,2023-03-30,2017-07-01,3.97
91,91,91,91,91,91,91,91,2023-03-30,2023-03-30,2017-08-01,3.88
92,92,92,92,92,92,92,92,2023-03-30,2023-03-30,2017-09-01,3.81
93,93,93,93,93,93,93,93,2023-03-30,2023-03-30,2017-10-01,3.9
94,94,94,94,94,94,94,94,2023-03-30,2023-03-30,2017-11-01,3.92
95,95,95,95,95,95,95,95,2023-03-30,2023-03-30,2017-12-01,3.95
96,96,96,96,96,96,96,96,2023-03-30,2023-03-30,2018-01-01,4.03
97,97,97,97,97,97,97,97,2023-03-30,2023-03-30,2018-02-01,4.33
98,98,98,98,98,98,98,98,2023-03-30,2023-03-30,2018-03-01,4.44
99,99,99,99,99,99,99,99,2023-03-30,2023-03-30,2018-04-01,4.47
100,100,100,100,100,100,100,100,2023-03-30,2023-03-30,2018-05-01,4.59
101,101,101,101,101,101,101,101,2023-03-30,2023-03-30,2018-06-01,4.57
102,102,102,102,102,102,102,102,2023-03-30,2023-03-30,2018-07-01,4.53
103,103,103,103,103,103,103,103,2023-03-30,2023-03-30,2018-08-01,4.55
104,104,104,104,104,104,104,104,2023-03-30,2023-03-30,2018-09-01,4.63
105,105,105,105,105,105,105,105,2023-03-30,2023-03-30,2018-10-01,4.83
106,106,106,106,106,106,106,106,2023-03-30,2023-03-30,2018-11-01,4.87
107,107,107,107,107,107,107,107,2023-03-30,2023-03-30,2018-12-01,4.64
108,108,108,108,108,108,108,108,2023-03-30,2023-03-30,2019-01-01,4.46
109,109,109,109,109,109,109,109,2023-03-30,2023-03-30,2019-02-01,4.37
110,110,110,110,110,110,110,110,2023-03-30,2023-03-30,2019-03-01,4.27
111,111,111,111,111,111,111,111,2023-03-30,2023-03-30,2019-04-01,4.14
112,112,112,112,112,112,112,112,2023-03-30,2023-03-30,2019-05-01,4.07
113,113,113,113,113,113,113,113,2023-03-30,2023-03-30,2019-06-01,3.8
114,114,114,114,114,114,114,114,2023-03-30,2023-03-30,2019-07-01,3.77
115,115,115,115,115,115,115,115,2023-03-30,2023-03-30,2019-08-01,3.62
116,116,116,116,116,116,116,116,2023-03-30,2023-03-30,2019-09-01,3.61
117,117,117,117,117,117,117,117,2023-03-30,2023-03-30,2019-10-01,3.69
118,118,118,118,118,118,118,118,2023-03-30,2023-03-30,2019-11-01,3.7
119,119,119,119,119,119,119,119,2023-03-30,2023-03-30,2019-12-01,3.72
120,120,120,120,120,120,120,120,2023-03-30,2023-03-30,2020-01-01,3.62
121,121,121,121,121,121,121,121,2023-03-30,2023-03-30,2020-02-01,3.47
122,122,122,122,122,122,122,122,2023-03-30,2023-03-30,2020-03-01,3.45
123,123,123,123,123,123,123,123,2023-03-30,2023-03-30,2020-04-01,3.31
124,124,124,124,124,124,124,124,2023-03-30,2023-03-30,2020-05-01,3.23
125,125,125,125,125,125,125,125,2023-03-30,2023-03-30,2020-06-01,3.16
126,126,126,126,126,126,126,126,2023-03-30,2023-03-30,2020-07-01,3.02
127,127,127,127,127,127,127,127,2023-03-30,2023-03-30,2020-08-01,2.94
128,128,128,128,128,128,128,128,2023-03-30,2023-03-30,2020-09-01,2.89
129,129,129,129,129,129,129,129,2023-03-30,2023-03-30,2020-10-01,2.83
130,130,130,130,130,130,130,130,2023-03-30,2023-03-30,2020-11-01,2.77
131,131,131,131,131,131,131,131,2023-03-30,2023-03-30,2020-12-01,2.68
132,132,132,132,132,132,132,132,2023-03-30,2023-03-30,2021-01-01,2.74
133,133,133,133,133,133,133,133,2023-03-30,2023-03-30,2021-02-01,2.81
134,134,134,134,134,134,134,134,2023-03-30,2023-03-30,2021-03-01,3.08
135,135,135,135,135,135,135,135,2023-03-30,2023-03-30,2021-04-01,3.06
136,136,136,136,136,136,136,136,2023-03-30,2023-03-30,2021-05-01,2.96
137,137,137,137,137,137,137,137,2023-03-30,2023-03-30,2021-06-01,2.98
138,138,138,138,138,138,138,138,2023-03-30,2023-03-30,2021-07-01,2.87
139,139,139,139,139,139,139,139,2023-03-30,2023-03-30,2021-08-01,2.84
140,140,140,140,140,140,140,140,2023-03-30,2023-03-30,2021-09-01,2.9
141,141,141,141,141,141,141,141,2023-03-30,2023-03-30,2021-10-01,3.07
142,142,142,142,142,142,142,142,2023-03-30,2023-03-30,2021-11-01,3.07
143,143,143,143,143,143,143,143,2023-03-30,2023-03-30,2021-12-01,3.1
